品牌,门店,笔记数(篇),占比,平均浏览量,最高浏览量,最近推广时间
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(徐家汇店),28,9.2%,2177,11763,2026-08-04T17:04:39
Xcape异时刻,Xcape异时刻密室逃脱·机械解谜·沉浸娱乐(人民广场迪美店),23,7.5%,1727,13161,2026-08-04T16:17:27
鬼十八,鬼十八恐怖密室逃脱·真人NPC·沉浸解压(长宁来福士店),18,5.9%,958,1686,2026-07-31T17:01:12
其他,迷之好玩·魔法互动·机械密室(正大店),18,5.9%,5633,43828,2026-08-03T08:54:21
bb boom,异时刻 bb boom协作游戏运动闯关密室·聚会团建·生日派对(金鹰店),18,5.9%,5589,57618,2026-08-03T09:13:32
bb boom,bb boom运动闯关密室·聚会团建·生日派对(五角场万达店),18,5.9%,2073,8847,2026-08-03T10:36:33
bb boom,bb boom组队闯关密室·团建聚会·生日派对·家庭亲子(湖滨店),17,5.6%,1244,4523,2026-08-04T13:58:27
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(新世界百货崇文店),15,4.9%,1913,17091,2026-08-05T11:33:38
bb boom,bb boom运动闯关密室·聚会团建·生日派对·家庭亲子(徐家汇店),14,4.6%,2995,17615,2026-08-03T09:55:44
Xcape异时刻,异时刻密室逃脱·魔法互动·真人NPC(五角场店),13,4.3%,990,3587,2026-08-05T10:24:41
bb boom,bb boom组队闯关密室·团建聚会·生日派对·家庭亲子(杭州大悦城店),13,4.3%,1991,6876,2026-08-04T14:11:38
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(外滩小南门店),13,4.3%,708,1289,2026-08-05T09:21:18
鬼十八,鬼十八密室逃脱真人NPC(仲盛店),11,3.6%,830,2147,2026-07-31T17:53:23
bb boom,bb boom运动闯关密室·聚会团建·家庭亲子(月亮湾店),11,3.6%,3759,26723,2026-08-03T09:40:48
鬼十八,鬼十八密室逃脱真人NPC(月亮湾店),9,3.0%,919,2013,2026-08-03T08:38:14
bb boom,bb boom运动闯关密室·团建聚会·家庭亲子(仲盛店),7,2.3%,2354,9276,2026-08-03T10:01:51
Xcape异时刻,Xcape异时刻密室逃脱魔法互动(瑞虹天地太阳宫店),7,2.3%,2348,9137,2026-08-04T16:31:17
Xcape异时刻,Xcape异时刻密室逃脱(天虹店),7,2.3%,1723,8194,2026-08-04T15:48:58
Xcape异时刻,异时刻机械解谜密室·跳格子(上海长风大悦城店),6,2.0%,976,1873,2026-08-03T09:19:00
bb boom,bb boom组队闯关密室·团建聚会·生日派对(龙湖滨江天街店),6,2.0%,2216,10536,2026-08-03T10:42:30
Xcape异时刻,Xcape异时刻密室逃脱(吾悦广场店),6,2.0%,26202,153894,2026-08-04T15:52:35
Xcape异时刻,Xcape异时刻密室逃脱(静安大悦城店),5,1.6%,1192,1971,2026-08-04T14:16:41
Xcape异时刻,异时刻密室·聚会团建·家庭亲子(龙湖西溪天街店),4,1.3%,807,1482,2026-08-03T09:22:37
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(松江印象城店),4,1.3%,1157,1791,2026-08-04T16:36:58
bb boom,bb boom运动闯关密室·团建聚会·生日派对·家庭亲子(西溪店),3,1.0%,2076,4415,2026-08-03T10:04:42
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(青悦城店),3,1.0%,472,599,2026-08-04T17:23:41
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(龙湖房山天街店),2,0.7%,146516,292472,2026-08-05T09:24:12
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(龙湖东吴天街店),2,0.7%,1399,2234,2026-08-04T17:10:39
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(龙湖金沙天街店),1,0.3%,405,405,2026-08-04T16:38:21
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(长楹天街店),1,0.3%,521,521,2026-08-04T17:11:58
Xcape异时刻,Xcape异时刻密室逃脱真人NPC(仲盛世界商城店),1,0.3%,580,580,2026-08-04T17:07:12
Xcape异时刻,Xcape异时刻密室逃脱(金沙印象城店),1,0.3%,560,560,2026-08-04T15:53:54
,合计,305,100%,3595,292472,2026-08-05T11:33:38
